Ng1/N,Ng2/N,AvgDeg
0.11515151515151516,0.024242424242424242,1.3888888888888888
0.03571428571428571,0.041666666666666664,1.2153846153846153
0.04597701149425287,0.022988505747126436,1.096774193548387
0.048484848484848485,0.03636363636363636,1.2153846153846153
0.0380952380952381,0.05714285714285714,1.1538461538461537
0.10416666666666667,0.041666666666666664,1.3076923076923077
0.032520325203252036,0.024390243902439025,1.27
0.0379746835443038,0.02531645569620253,1.2947368421052632
0.03305785123966942,0.027548209366391185,1.34640522875817
0.05485232067510549,0.02531645569620253,1.263157894736842
0.06746031746031746,0.023809523809523808,1.2884615384615385
0.048484848484848485,0.03636363636363636,1.3088235294117647
0.027491408934707903,0.020618556701030927,1.1743119266055047
0.037037037037037035,0.020202020202020204,1.2892561983471074
0.023809523809523808,0.027777777777777776,1.2718446601941749
0.015873015873015872,0.015873015873015872,1.148936170212766
0.03065134099616858,0.022988505747126436,1.202020202020202
0.013071895424836602,0.013071895424836602,1.1238938053097345
0.03773584905660377,0.05660377358490566,1.28125
0.03559870550161812,0.012944983818770227,1.2439024390243902
0.029411764705882353,0.0196078431372549,1.225
0.014925373134328358,0.009950248756218905,1.1216216216216217
0.05084745762711865,0.05084745762711865,1.2222222222222223
0.028985507246376812,0.01932367149758454,1.2
0.03666666666666667,0.02,1.2173913043478262
0.035555555555555556,0.017777777777777778,1.2159090909090908
0.051643192488262914,0.028169014084507043,1.2439024390243902
0.024875621890547265,0.029850746268656716,1.1216216216216217
