Ng1/N,Ng2/N,AvgDeg
0.038461538461538464,0.038461538461538464,1.202247191011236
0.032520325203252036,0.024390243902439025,1.2210526315789474
0.0392156862745098,0.026143790849673203,1.1724137931034482
0.06513409961685823,0.03065134099616858,1.435897435897436
0.01990049751243781,0.01990049751243781,1.1486486486486487
0.021052631578947368,0.031578947368421054,1.2844827586206897
0.011299435028248588,0.014124293785310734,1.1911764705882353
0.08333333333333333,0.041666666666666664,1.3975903614457832
0.03900709219858156,0.028368794326241134,1.3333333333333333
0.014035087719298246,0.014035087719298246,1.1926605504587156
0.05641025641025641,0.046153846153846156,1.4318181818181819
0.14184397163120568,0.09219858156028368,1.5735294117647058
0.04583333333333333,0.025,1.263157894736842
0.08484848484848485,0.024242424242424242,1.2615384615384615
0.06666666666666667,0.04,1.3548387096774193
0.05673758865248227,0.0425531914893617,1.3333333333333333
0.044444444444444446,0.04,1.3979591836734695
0.09195402298850575,0.05747126436781609,1.5063291139240507
0.04938271604938271,0.024691358024691357,1.3134328358208955
0.06741573033707865,0.03745318352059925,1.4083333333333334
0.05128205128205128,0.05555555555555555,1.3535353535353536
0.040160642570281124,0.0321285140562249,1.4311926605504588
0.01932367149758454,0.01932367149758454,1.155844155844156
0.041666666666666664,0.0375,1.34
0.06103286384976526,0.028169014084507043,1.3258426966292134
0.04065040650406504,0.02032520325203252,1.2395833333333333
0.036585365853658534,0.044715447154471545,1.2828282828282829
0.03375527426160337,0.04219409282700422,1.3061224489795917
0.03875968992248062,0.027131782945736434,1.3177570093457944
0.033707865168539325,0.0299625468164794,1.368421052631579
0.04519774011299435,0.05084745762711865,1.36
