Ng1/N,Ng2/N,AvgDeg
0.09523809523809523,0.07936507936507936,1.3366336633663367
0.1619047619047619,0.1523809523809524,1.5231788079470199
0.07368421052631578,0.05263157894736842,1.3544303797468353
0.11904761904761904,0.10317460317460317,1.542857142857143
0.08536585365853659,0.07926829268292683,1.45
0.11206896551724138,0.10344827586206896,1.3128205128205128
0.1271186440677966,0.0847457627118644,1.4678362573099415
0.18421052631578946,0.18421052631578946,1.4923076923076923
0.3564356435643564,0.31683168316831684,1.8275862068965518
0.20454545454545456,0.1590909090909091,1.5238095238095237
